"firstName","lastName","nationality","id","code","name","type","abbreviation","Label"
"Tommy","Albelin","SWE",8444919,"D","Defenseman","Defenseman","D","Tommy Albelin"
"Dave","Andreychuk","CAN",8445000,"L","Left Wing","Forward","LW","Dave Andreychuk"
"Ed","Belfour","CAN",8445386,"G","Goalie","Goalie","G","Ed Belfour"
"Rob","Blake","CAN",8445550,"D","Defenseman","Defenseman","D","Rob Blake"
"Peter","Bondra","SVK",8445575,"R","Right Wing","Forward","RW","Peter Bondra"
"Rod","Brind'Amour","CAN",8445735,"C","Center","Forward","C","Rod Brind'Amour"
"Patrice","Brisebois","CAN",8445739,"D","Defenseman","Defenseman","D","Patrice Brisebois"
"Sean","Burke","CAN",8445769,"G","Goalie","Goalie","G","Sean Burke"
"Andrew","Cassels","CAN",8446003,"C","Center","Forward","C","Andrew Cassels"
"Chris","Chelios","USA",8446053,"D","Defenseman","Defenseman","D","Chris Chelios"
"Eric","Desjardins","CAN",8446407,"D","Defenseman","Defenseman","D","Eric Desjardins"
"Rob","DiMaio","CAN",8446408,"R","Right Wing","Forward","RW","Rob DiMaio"
"Tie","Domi","CAN",8446454,"R","Right Wing","Forward","RW","Tie Domi"
"Kris","Draper","CAN",8446485,"C","Center","Forward","C","Kris Draper"
"Sergei","Fedorov","RUS",8446788,"C","Center","Forward","C","Sergei Fedorov"
"Tom","Fitzgerald","USA",8446830,"R","Right Wing","Forward","RW","Tom Fitzgerald"
"Martin","Gelinas","CAN",8447091,"L","Left Wing","Forward","LW","Martin Gelinas"
"Dominik","Hasek","CZE",8447687,"G","Goalie","Goalie","G","Dominik Hasek"
"Bobby","Holik","CZE",8447958,"C","Center","Forward","C","Bobby Holik"
"Brett","Hull","USA",8448091,"R","Right Wing","Forward","RW","Brett Hull"
"Jaromir","Jagr","CZE",8448208,"R","Right Wing","Forward","RW","Jaromir Jagr"
"Curtis","Joseph","CAN",8448382,"G","Goalie","Goalie","G","Curtis Joseph"
"Olie","Kolzig","DEU",8448535,"G","Goalie","Goalie","G","Olie Kolzig"
"John","LeClair","USA",8448622,"L","Left Wing","Forward","LW","John LeClair"
"Brian","Leetch","USA",8448769,"D","Defenseman","Defenseman","D","Brian Leetch"
"Claude","Lemieux","CAN",8448772,"R","Right Wing","Forward","RW","Claude Lemieux"
"Mario","Lemieux","CAN",8448782,"C","Center","Forward","C","Mario Lemieux"
